"","time","HbMet","hpx","precip","residue"
"1",0,NA,NA,NA,NA
"2",1,NA,NA,NA,NA
"3",2,NA,NA,NA,NA
"4",3,NA,NA,NA,NA
"5",4,NA,NA,NA,NA
"6",5,NA,NA,NA,NA
"7",6,NA,NA,NA,NA
"8",7,NA,NA,NA,NA
"9",8,NA,NA,NA,NA
"10",9,NA,NA,NA,NA
"11",10,NA,NA,NA,NA
"12",11,NA,NA,NA,NA
"13",12,NA,NA,NA,NA
"14",13,NA,NA,NA,NA
"15",14,NA,NA,NA,NA
"16",15,NA,NA,NA,NA
"17",16,NA,NA,NA,NA
"18",17,NA,NA,NA,NA
"19",18,NA,NA,NA,NA
"20",19,NA,NA,NA,NA
"21",20,NA,NA,NA,NA
"22",21,NA,NA,NA,NA
"23",22,NA,NA,NA,NA
"24",23,NA,NA,NA,NA
"25",24,NA,NA,NA,NA
"26",25,NA,NA,NA,NA
"27",26,NA,NA,NA,NA
"28",27,NA,NA,NA,NA
"29",28,NA,NA,NA,NA
"30",29,NA,NA,NA,NA
"31",30,NA,NA,NA,NA
"32",31,NA,NA,NA,NA
"33",32,NA,NA,NA,NA
"34",33,NA,NA,NA,NA
"35",34,NA,NA,NA,NA
"36",35,NA,NA,NA,NA
"37",36,NA,NA,NA,NA
"38",37,NA,NA,NA,NA
"39",38,NA,NA,NA,NA
"40",39,NA,NA,NA,NA
"41",40,NA,NA,NA,NA
"42",41,NA,NA,NA,NA
"43",42,NA,NA,NA,NA
"44",43,NA,NA,NA,NA
"45",44,NA,NA,NA,NA
"46",45,NA,NA,NA,NA
"47",46,NA,NA,NA,NA
"48",47,NA,NA,NA,NA
"49",48,NA,NA,NA,NA
"50",49,NA,NA,NA,NA
"51",50,NA,NA,NA,NA
"52",51,NA,NA,NA,NA
"53",52,NA,NA,NA,NA
"54",53,NA,NA,NA,NA
"55",54,NA,NA,NA,NA
"56",55,NA,NA,NA,NA
"57",56,NA,NA,NA,NA
"58",57,NA,NA,NA,NA
"59",58,NA,NA,NA,NA
"60",59,NA,NA,NA,NA
"61",60,NA,NA,NA,NA
"62",61,NA,NA,NA,NA
"63",62,NA,NA,NA,NA
